-80,-75,1019,-332,-78,142,-802,299,-3248,9105,-27,1186,-13569,-4396,-3184,19804,-3220,-3755,-27729,-35,115,13,16,177,179,167,0,0
-85,-551,950,-292,-187,142,-1953,1528,-3910,5771,-218,2458,-15134,7908,-344,15576,-12048,-14261,-27134,1,171,21,16,177,179,167,0,0
-76,-314,864,-187,-326,65,156,-381,-1485,3653,-176,3116,-15664,5064,-1636,18396,3874,403,-12257,1,171,21,16,177,179,167,0,0
2,-244,974,-131,-372,73,641,-456,-1257,2510,-688,2745,-15942,2772,468,15884,3397,4121,-10167,34,188,34,16,177,179,167,0,0
120,-400,920,-54,-358,97,-321,356,-792,1515,-901,2541,-16090,8228,1684,17620,-3716,-661,-4248,47,189,19,16,177,179,167,0,0
2,-178,845,-33,-366,86,274,482,663,1569,-399,2497,-16111,6200,-164,16688,-2769,1737,4088,58,194,28,16,177,179,167,0,0
-12,-295,867,-78,-360,86,86,138,380,1949,-107,2441,-16083,5568,-432,16368,81,1078,4534,50,198,24,16,177,179,167,0,0
-67,-304,979,-83,-360,92,297,-330,509,2427,-204,2355,-16030,6580,-792,18940,2252,2853,4409,50,198,24,16,177,179,167,0,0
-156,-141,1133,-96,-360,123,268,-21,496,2969,-224,1994,-15987,64,-3168,21960,-1201,309,2930,36,188,20,16,177,179,167,0,0
-83,-246,926,-118,-342,112,166,574,84,3017,260,2039,-15972,3300,-1896,16340,-4879,1373,407,21,177,23,16,177,179,167,0,0
191,78,921,-124,-342,105,431,342,-63,3082,652,1892,-15967,-4808,2892,14068,-4593,239,1079,25,185,11,16,177,179,167,0,0
-165,-246,889,-112,-337,128,-571,255,-1003,2053,812,1825,-16132,5432,-3516,16176,-3043,-4791,-7505,43,173,11,16,177,179,167,0,0
-151,-264,1013,-72,-353,118,-196,926,-2278,732,1152,2195,-16179,4504,-6132,23888,-8152,-1232,-17644,43,173,11,16,177,179,167,0,0
-112,-265,985,3,-360,113,794,2368,-4111,-2282,2351,1811,-15950,7196,-1364,17364,-19226,4669,-31370,64,192,24,16,177,179,167,0,0
-284,-374,867,72,-324,148,248,1548,-3061,-5253,3705,1549,-14991,8208,-3840,14088,-10976,295,-20605,100,180,-2,16,177,179,167,0,0
-382,-487,699,136,-302,172,48,26,-1394,-6843,4061,1767,-14212,7972,-4528,14124,973,271,-11063,123,169,-5,16,177,179,167,0,0
-388,-30,198,190,-272,171,343,44,-1093,-7615,3929,2072,-13810,10580,-4684,16448,3110,3653,-13411,138,162,8,16,177,179,167,0,0
-280,-562,708,224,-254,164,-470,493,-687,-8132,3978,2366,-13450,9972,-5792,14868,-9225,-2909,-6410,138,162,8,16,177,179,167,0,0
-354,-436,751,211,-241,158,50,1186,-1543,-9057,4832,2094,-12596,7344,-5264,11272,-7297,882,-11975,141,159,-9,16,177,179,167,0,0
-222,-462,781,228,-201,195,982,398,-2290,-10491,4694,1878,-11524,7572,-1308,14116,-372,8571,-18784,149,133,-13,16,177,179,167,0,0
35,-350,902,264,-104,230,2590,-675,-2944,-12351,3254,1751,-10111,6712,1128,16528,6871,20703,-21562,154,90,-24,16,177,179,167,0,0
206,-89,1045,292,30,220,2777,-773,-2730,-13910,785,1352,-8515,632,3604,17728,6362,21041,-19593,154,90,-24,16,177,179,167,0,0
282,346,989,288,168,164,3462,-830,-2511,-14777,-1958,758,-6758,-6628,4496,16948,6355,26612,-17569,167,15,1,16,177,179,167,0,0
173,508,909,236,312,56,2714,-119,-1428,-14863,-4566,-103,-5164,-10544,4700,16692,442,21014,-11746,145,-41,47,16,177,179,167,0,0
154,729,790,179,344,-17,1341,331,-331,-14613,-5839,-819,-4487,-10944,2096,13508,-1797,11635,-2595,131,-47,83,16,177,179,167,0,0
92,677,638,192,356,-54,1593,121,-76,-14176,-6891,-1333,-4267,-11060,2692,12488,-245,12110,-1498,132,-48,106,16,177,179,167,0,0
165,741,636,185,342,-81,379,-551,-31,-13909,-7561,-1265,-4028,-12920,2504,12504,3854,3695,-716,132,-48,106,16,177,179,167,0,0
-8,1000,731,156,348,-88,-1322,906,-2660,-14167,-7247,-2005,-3343,-17300,-92,14188,-7783,-11157,-22268,126,-48,116,16,177,179,167,0,0
-302,581,575,64,377,-35,-1143,1935,-3203,-14775,-5429,-4191,-1756,-11060,-4704,9884,-15370,-9768,-24968,87,-61,89,16,177,179,167,0,0
