unix = 1717794545, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 88330
unix = 1717794665, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 89085
unix = 1717794785, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 89673
unix = 1717794905, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 90260
unix = 1717795025, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 90849
unix = 1717795145, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 91542
unix = 1717795265, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 92345
unix = 1717795385, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 93148
unix = 1717795505, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 93951
unix = 1717795625, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 94718
unix = 1717795745, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 95412
unix = 1717795865, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 96050
unix = 1717795985, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 96721
unix = 1717796105, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 97396
unix = 1717796225, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 98057
unix = 1717796345, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 98769
unix = 1717796465, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 99572
unix = 1717796585, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 100375
unix = 1717796705, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 101178
unix = 1717796825, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 101981
unix = 1717796945, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 102784
unix = 1717797065, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 103587
unix = 1717797185, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 104390
unix = 1717797305, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 105193
unix = 1717797425, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 105922
unix = 1717797545, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 106540
unix = 1717797665, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 107196
unix = 1717797785, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 107815
unix = 1717797905, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 108444
unix = 1717798025, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 109208
unix = 1717798145, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 110011
unix = 1717798265, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 110814
unix = 1717798385, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 111617
unix = 1717798505, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 112420
unix = 1717798625, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 113223
unix = 1717798745, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 113922
unix = 1717798865, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 114500
unix = 1717798985, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 115125
unix = 1717799105, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 115753
unix = 1717799225, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 116435
unix = 1717799345, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 117238
unix = 1717799465, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 118041
unix = 1717799585, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 118844
unix = 1717799705, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 119614
unix = 1717799825, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 120206
unix = 1717799945, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 120817
unix = 1717800065, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 121407
unix = 1717800185, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 122056
unix = 1717800305, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 122859
unix = 1717800425, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 123662
unix = 1717800545, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 124465
unix = 1717800665, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 125268
unix = 1717800785, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 126071
unix = 1717800905, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 126716
unix = 1717801025, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 127317
unix = 1717801145, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 127880
unix = 1717801265, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 128480
unix = 1717801385, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 129283
unix = 1717801505, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 130086
unix = 1717801625, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 130889
unix = 1717801745, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 131692
unix = 1717801865, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 132281
unix = 1717801985, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 132809
unix = 1717802105, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 133335
unix = 1717802225, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 134101
unix = 1717802345, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 134904
unix = 1717802465, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 135707
unix = 1717802585, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 136510
unix = 1717802705, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 137240
unix = 1717802825, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 137781
unix = 1717802945, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 138300
unix = 1717803065, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 138919
