unix = 1717290262, lat = -38.835800, lon = -72.697975, alt = 66.800003, bat% = 84, batmV = 3988, regCount = 0
unix = 1717290382, lat = -38.835697, lon = -72.697937, alt = 55.799999, bat% = 84, batmV = 3988, regCount = 0
unix = 1717290502, lat = -38.835800, lon = -72.697899, alt = 66.800003, bat% = 84, batmV = 3988, regCount = 0
unix = 1717290622, lat = -38.835785, lon = -72.697899, alt = 59.599998, bat% = 84, batmV = 3988, regCount = 0
unix = 1717290742, lat = -38.835892, lon = -72.697914, alt = 70.199997, bat% = 84, batmV = 3988, regCount = 0
unix = 1717290862, lat = -38.835770, lon = -72.697975, alt = 72.599998, bat% = 84, batmV = 3988, regCount = 0
unix = 1717290982, lat = -38.835846, lon = -72.697868, alt = 69.599998, bat% = 84, batmV = 3984, regCount = 0
unix = 1717291102, lat = -38.835854, lon = -72.697884, alt = 58.700001, bat% = 84, batmV = 3984, regCount = 0
unix = 1717291222, lat = -38.835850, lon = -72.697945, alt = 57.799999, bat% = 84, batmV = 3984, regCount = 0
unix = 1717291342, lat = -38.835789, lon = -72.697884, alt = 67.800003, bat% = 84, batmV = 3984, regCount = 0
unix = 1717291462, lat = -38.835804, lon = -72.697922, alt = 65.900002, bat% = 84, batmV = 3984, regCount = 0
unix = 1717291582, lat = -38.835793, lon = -72.697884, alt = 61.799999, bat% = 84, batmV = 3984, regCount = 0
unix = 1717291702, lat = -38.835812, lon = -72.697899, alt = 63.900002, bat% = 84, batmV = 3984, regCount = 0
unix = 1717291822, lat = -38.835636, lon = -72.697929, alt = 62.900002, bat% = 84, batmV = 3984, regCount = 0
unix = 1717291942, lat = -38.835758, lon = -72.697929, alt = 62.599998, bat% = 84, batmV = 3984, regCount = 0
unix = 1717292062, lat = -38.835857, lon = -72.697937, alt = 60.500000, bat% = 84, batmV = 3984, regCount = 0
unix = 1717292182, lat = -38.835720, lon = -72.697891, alt = 60.099998, bat% = 84, batmV = 3984, regCount = 0
unix = 1717292302, lat = -38.835812, lon = -72.697914, alt = 64.400002, bat% = 84, batmV = 3984, regCount = 0
unix = 1717292422, lat = -38.835812, lon = -72.697968, alt = 63.799999, bat% = 84, batmV = 3984, regCount = 0
unix = 1717292542, lat = -38.835842, lon = -72.697952, alt = 72.199997, bat% = 84, batmV = 3984, regCount = 0
unix = 1717292662, lat = -38.835812, lon = -72.697899, alt = 66.900002, bat% = 84, batmV = 3984, regCount = 0
unix = 1717292782, lat = -38.835838, lon = -72.697739, alt = 79.400002, bat% = 84, batmV = 3984, regCount = 0
unix = 1717292902, lat = -38.835838, lon = -72.697739, alt = 79.400002, bat% = 84, batmV = 3984, regCount = 0
unix = 1717293024, lat = -38.835838, lon = -72.697739, alt = 79.400002, bat% = 84, batmV = 3984, regCount = 0
unix = 1717293146, lat = -38.835747, lon = -72.698013, alt = 69.599998, bat% = 84, batmV = 3984, regCount = 0
unix = 1717293262, lat = -38.835686, lon = -72.697990, alt = 79.500000, bat% = 84, batmV = 3984, regCount = 0
unix = 1717293382, lat = -38.835449, lon = -72.698135, alt = 132.100006, bat% = 84, batmV = 3980, regCount = 0
unix = 1717293502, lat = -38.835701, lon = -72.697937, alt = 86.599998, bat% = 84, batmV = 3984, regCount = 0
unix = 1717293622, lat = -38.835712, lon = -72.697868, alt = 56.200001, bat% = 84, batmV = 3984, regCount = 0
unix = 1717293742, lat = -38.836823, lon = -72.698105, alt = 110.699997, bat% = 84, batmV = 3980, regCount = 0
unix = 1717293862, lat = -38.835857, lon = -72.697937, alt = 74.099998, bat% = 84, batmV = 3984, regCount = 0
unix = 1717293982, lat = -38.835739, lon = -72.697876, alt = 58.299999, bat% = 84, batmV = 3980, regCount = 0
unix = 1717294102, lat = -38.835796, lon = -72.697906, alt = 58.599998, bat% = 84, batmV = 3984, regCount = 0
unix = 1717294222, lat = -38.835888, lon = -72.697868, alt = 48.599998, bat% = 84, batmV = 3984, regCount = 0
unix = 1717294342, lat = -38.835785, lon = -72.697914, alt = 70.400002, bat% = 84, batmV = 3984, regCount = 0
unix = 1717294462, lat = -38.835751, lon = -72.697922, alt = 60.299999, bat% = 84, batmV = 3984, regCount = 0
unix = 1717294582, lat = -38.835793, lon = -72.697937, alt = 59.299999, bat% = 84, batmV = 3984, regCount = 0
unix = 1717294702, lat = -38.835815, lon = -72.697975, alt = 55.799999, bat% = 84, batmV = 3984, regCount = 0
unix = 1717294822, lat = -38.835770, lon = -72.697937, alt = 59.200001, bat% = 84, batmV = 3984, regCount = 0
unix = 1717294942, lat = -38.835773, lon = -72.697937, alt = 61.900002, bat% = 84, batmV = 3984, regCount = 0
unix = 1717295062, lat = -38.835831, lon = -72.697754, alt = 71.000000, bat% = 84, batmV = 3984, regCount = 0
unix = 1717295182, lat = -38.835796, lon = -72.697929, alt = 53.200001, bat% = 84, batmV = 3984, regCount = 0
unix = 1717295302, lat = -38.835773, lon = -72.697952, alt = 65.599998, bat% = 84, batmV = 3984, regCount = 0
unix = 1717295422, lat = -38.835785, lon = -72.697922, alt = 58.299999, bat% = 84, batmV = 3984, regCount = 0
unix = 1717295542, lat = -38.835766, lon = -72.697929, alt = 49.900002, bat% = 84, batmV = 3980, regCount = 0
unix = 1717295662, lat = -38.835754, lon = -72.697937, alt = 54.200001, bat% = 84, batmV = 3984, regCount = 0
unix = 1717295782, lat = -38.835789, lon = -72.697929, alt = 61.299999, bat% = 84, batmV = 3984, regCount = 0
unix = 1717295902, lat = -38.835815, lon = -72.697929, alt = 59.400002, bat% = 84, batmV = 3984, regCount = 0
unix = 1717296022, lat = -38.835823, lon = -72.697937, alt = 60.799999, bat% = 84, batmV = 3984, regCount = 0
unix = 1717296142, lat = -38.835838, lon = -72.697868, alt = 58.299999, bat% = 84, batmV = 3984, regCount = 0
unix = 1717296262, lat = -38.835690, lon = -72.697945, alt = 49.900002, bat% = 84, batmV = 3980, regCount = 0
unix = 1717296382, lat = -38.835907, lon = -72.697914, alt = 65.400002, bat% = 84, batmV = 3980, regCount = 0
unix = 1717296502, lat = -38.835804, lon = -72.697929, alt = 61.500000, bat% = 84, batmV = 3980, regCount = 0
unix = 1717296622, lat = -38.835804, lon = -72.697929, alt = 60.500000, bat% = 84, batmV = 3980, regCount = 0
unix = 1717296742, lat = -38.835781, lon = -72.697975, alt = 63.200001, bat% = 84, batmV = 3980, regCount = 0
unix = 1717296862, lat = -38.835754, lon = -72.697899, alt = 55.500000, bat% = 84, batmV = 3980, regCount = 0
unix = 1717296982, lat = -38.835831, lon = -72.697937, alt = 62.799999, bat% = 84, batmV = 3980, regCount = 0
unix = 1717297102, lat = -38.835773, lon = -72.697899, alt = 59.700001, bat% = 84, batmV = 3980, regCount = 0
unix = 1717297222, lat = -38.835831, lon = -72.697876, alt = 52.700001, bat% = 84, batmV = 3980, regCount = 0
unix = 1717297342, lat = -38.835812, lon = -72.697899, alt = 56.900002, bat% = 84, batmV = 3980, regCount = 0
unix = 1717297462, lat = -38.835777, lon = -72.697914, alt = 53.000000, bat% = 84, batmV = 3980, regCount = 0
unix = 1717297582, lat = -38.835793, lon = -72.697914, alt = 59.099998, bat% = 84, batmV = 3980, regCount = 0
unix = 1717297702, lat = -38.835793, lon = -72.697960, alt = 63.099998, bat% = 84, batmV = 3980, regCount = 0
unix = 1717297822, lat = -38.835781, lon = -72.697929, alt = 55.200001, bat% = 84, batmV = 3980, regCount = 0
unix = 1717297942, lat = -38.835808, lon = -72.697937, alt = 53.599998, bat% = 84, batmV = 3976, regCount = 0
unix = 1717298062, lat = -38.835888, lon = -72.697945, alt = 70.500000, bat% = 84, batmV = 3980, regCount = 0
unix = 1717298182, lat = -38.835754, lon = -72.697937, alt = 58.900002, bat% = 84, batmV = 3980, regCount = 0
unix = 1717298302, lat = -38.835659, lon = -72.697998, alt = 31.100000, bat% = 84, batmV = 3976, regCount = 0
unix = 1717298422, lat = -38.835892, lon = -72.697960, alt = 72.900002, bat% = 84, batmV = 3980, regCount = 0
unix = 1717298542, lat = -38.836040, lon = -72.698036, alt = 108.300003, bat% = 84, batmV = 3976, regCount = 0
unix = 1717298662, lat = -38.835815, lon = -72.697983, alt = 60.099998, bat% = 84, batmV = 3980, regCount = 0
unix = 1717298782, lat = -38.835815, lon = -72.697983, alt = 60.099998, bat% = 84, batmV = 3980, regCount = 0
unix = 1717298904, lat = -38.835815, lon = -72.697983, alt = 60.099998, bat% = 84, batmV = 3980, regCount = 0
unix = 1717299026, lat = -38.835850, lon = -72.697968, alt = 60.099998, bat% = 84, batmV = 3980, regCount = 0
unix = 1717299142, lat = -38.835907, lon = -72.697929, alt = 69.900002, bat% = 84, batmV = 3980, regCount = 0
unix = 1717299262, lat = -38.835770, lon = -72.697929, alt = 61.900002, bat% = 84, batmV = 3976, regCount = 0
unix = 1717299382, lat = -38.835796, lon = -72.697952, alt = 62.500000, bat% = 84, batmV = 3976, regCount = 0
unix = 1717299502, lat = -38.835876, lon = -72.697945, alt = 71.599998, bat% = 84, batmV = 3976, regCount = 0
unix = 1717299622, lat = -38.835766, lon = -72.697952, alt = 55.700001, bat% = 84, batmV = 3976, regCount = 0
unix = 1717299742, lat = -38.835793, lon = -72.697937, alt = 65.500000, bat% = 84, batmV = 3976, regCount = 0
unix = 1717299862, lat = -38.835876, lon = -72.698006, alt = 55.900002, bat% = 84, batmV = 3976, regCount = 0
unix = 1717299982, lat = -38.835766, lon = -72.697922, alt = 63.900002, bat% = 84, batmV = 3980, regCount = 0
unix = 1717300102, lat = -38.835777, lon = -72.697945, alt = 59.799999, bat% = 84, batmV = 3976, regCount = 0
unix = 1717300222, lat = -38.835724, lon = -72.697968, alt = 49.000000, bat% = 84, batmV = 3976, regCount = 0
unix = 1717300342, lat = -38.835827, lon = -72.697990, alt = 54.200001, bat% = 84, batmV = 3976, regCount = 0
unix = 1717300462, lat = -38.835716, lon = -72.697830, alt = 69.900002, bat% = 84, batmV = 3976, regCount = 0
unix = 1717300582, lat = -38.835758, lon = -72.697876, alt = 62.799999, bat% = 84, batmV = 3976, regCount = 0
unix = 1717300702, lat = -38.835739, lon = -72.697891, alt = 66.300003, bat% = 84, batmV = 3976, regCount = 0
unix = 1717300822, lat = -38.835571, lon = -72.697510, alt = 29.400000, bat% = 84, batmV = 3976, regCount = 0
unix = 1717300942, lat = -38.835808, lon = -72.697945, alt = 62.299999, bat% = 84, batmV = 3976, regCount = 0
unix = 1717301062, lat = -38.835831, lon = -72.697937, alt = 63.599998, bat% = 84, batmV = 3976, regCount = 0
unix = 1717301182, lat = -38.835789, lon = -72.697945, alt = 59.299999, bat% = 84, batmV = 3976, regCount = 0
unix = 1717301302, lat = -38.835972, lon = -72.698021, alt = 56.099998, bat% = 84, batmV = 3976, regCount = 0
unix = 1717301422, lat = -38.836426, lon = -72.698715, alt = 145.600006, bat% = 84, batmV = 3976, regCount = 0
unix = 1717301542, lat = -38.835758, lon = -72.697952, alt = 59.299999, bat% = 84, batmV = 3976, regCount = 0
unix = 1717301662, lat = -38.835770, lon = -72.697929, alt = 57.500000, bat% = 84, batmV = 3976, regCount = 0
unix = 1717301782, lat = -38.835850, lon = -72.697975, alt = 62.000000, bat% = 84, batmV = 3976, regCount = 0
unix = 1717301902, lat = -38.835804, lon = -72.697983, alt = 64.000000, bat% = 83, batmV = 3971, regCount = 0
unix = 1717302022, lat = -38.835766, lon = -72.697952, alt = 58.900002, bat% = 83, batmV = 3971, regCount = 0
unix = 1717302142, lat = -38.835903, lon = -72.697998, alt = 58.799999, bat% = 84, batmV = 3976, regCount = 0
unix = 1717302262, lat = -38.835564, lon = -72.697830, alt = 54.299999, bat% = 84, batmV = 3976, regCount = 0
unix = 1717302382, lat = -38.835762, lon = -72.697945, alt = 63.799999, bat% = 83, batmV = 3971, regCount = 0
unix = 1717302502, lat = -38.835747, lon = -72.697960, alt = 46.000000, bat% = 84, batmV = 3976, regCount = 0
unix = 1717302622, lat = -38.835831, lon = -72.697929, alt = 62.900002, bat% = 84, batmV = 3976, regCount = 0
unix = 1717302742, lat = -38.835796, lon = -72.697975, alt = 68.099998, bat% = 84, batmV = 3976, regCount = 0
unix = 1717302862, lat = -38.835823, lon = -72.698013, alt = 56.200001, bat% = 83, batmV = 3971, regCount = 0
unix = 1717302982, lat = -38.835823, lon = -72.698128, alt = 71.199997, bat% = 83, batmV = 3971, regCount = 0
unix = 1717303102, lat = -38.835880, lon = -72.698013, alt = 66.199997, bat% = 83, batmV = 3971, regCount = 0
unix = 1717303222, lat = -38.835987, lon = -72.698090, alt = 66.300003, bat% = 83, batmV = 3971, regCount = 0
unix = 1717303342, lat = -38.835903, lon = -72.697922, alt = 57.000000, bat% = 83, batmV = 3971, regCount = 0
unix = 1717303462, lat = -38.835842, lon = -72.697960, alt = 62.299999, bat% = 83, batmV = 3971, regCount = 0
unix = 1717303582, lat = -38.835819, lon = -72.697990, alt = 64.000000, bat% = 83, batmV = 3971, regCount = 0
unix = 1717303702, lat = -38.835686, lon = -72.698151, alt = 71.900002, bat% = 83, batmV = 3971, regCount = 0
unix = 1717303822, lat = -38.835884, lon = -72.697891, alt = 51.299999, bat% = 83, batmV = 3971, regCount = 0
unix = 1717303942, lat = -38.835808, lon = -72.697945, alt = 60.299999, bat% = 83, batmV = 3971, regCount = 0
unix = 1717304062, lat = -38.835796, lon = -72.698006, alt = 64.900002, bat% = 83, batmV = 3971, regCount = 0
unix = 1717304182, lat = -38.835770, lon = -72.697845, alt = 86.099998, bat% = 83, batmV = 3971, regCount = 0
unix = 1717304302, lat = -38.835861, lon = -72.698059, alt = 59.599998, bat% = 83, batmV = 3971, regCount = 0
unix = 1717304422, lat = -38.835674, lon = -72.697952, alt = 47.900002, bat% = 83, batmV = 3971, regCount = 0
unix = 1717304542, lat = -38.835991, lon = -72.697868, alt = 101.300003, bat% = 83, batmV = 3971, regCount = 0
unix = 1717304662, lat = -38.835808, lon = -72.697968, alt = 61.299999, bat% = 83, batmV = 3971, regCount = 0
unix = 1717304782, lat = -38.835812, lon = -72.697929, alt = 63.099998, bat% = 83, batmV = 3971, regCount = 0
unix = 1717304902, lat = -38.835823, lon = -72.697914, alt = 72.900002, bat% = 83, batmV = 3971, regCount = 0
unix = 1717305022, lat = -38.835503, lon = -72.697937, alt = 46.900002, bat% = 83, batmV = 3971, regCount = 0
unix = 1717305142, lat = -38.835953, lon = -72.697929, alt = 80.199997, bat% = 83, batmV = 3967, regCount = 0
unix = 1717305262, lat = -38.835602, lon = -72.697929, alt = 80.199997, bat% = 83, batmV = 3967, regCount = 0
unix = 1717305382, lat = -38.835808, lon = -72.697968, alt = 61.500000, bat% = 83, batmV = 3971, regCount = 0
unix = 1717305502, lat = -38.835857, lon = -72.697960, alt = 68.500000, bat% = 83, batmV = 3971, regCount = 0
unix = 1717305622, lat = -38.835842, lon = -72.697990, alt = 60.200001, bat% = 83, batmV = 3967, regCount = 0
unix = 1717305742, lat = -38.835796, lon = -72.697952, alt = 59.400002, bat% = 83, batmV = 3967, regCount = 0
